,name,city,Check_in_date,Check_out_date,pool,gym,spa,free_parking,bathtub,restuarant,Airport_transfer,Bar,Kitchen,Connecting_rooms_available,Internet_access,Pet_friendly,No of Nights,City Center,price
15,Novotel Mumbai Juhu Beach Hotel,Mumbai,2021-02-24,2021-02-26,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,20.0,10400
16,Boutique Hotel Bawa Suites,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,yes,no,no,no,no,no,no,no,2,16.0,5085
17,JW Marriott Mumbai Sahar,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,20.0,11100
18,Trident Bandra Kurla Mumbai,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,15.0,10000
19,Colaba Suites,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,1.5,3444
20,ibis Mumbai Airport Hotel,Mumbai,2021-02-24,2021-02-26,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,2,18.0,5598
21,The Taj Mahal Palace Mumbai,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,1.2,27000
22,VITS Mumbai International Airport T2,Mumbai,2021-02-24,2021-02-26,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,20.0,4798
23,Bawa International,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,2,18.0,5040
24,Hexa Airways,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,20.0,3705
25,Hyatt Regency Mumbai,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,19.0,8925
27,The Roa,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,yes,no,no,no,no,2,19.0,5398
28,The Leela Mumbai,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,20.0,10000
30,HOTEL BINDRA SUPREMACY,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,yes,no,no,no,no,2,22.0,4480
31,Hotel Harbour View,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,no,no,yes,no,no,2,1.5,5940
32,"Trident, Nariman Point Mumbai",Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,1.3,13000
34,The Park Mumbai,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,2,19.0,8000
35,Executive Enclave,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,2,15.0,6963
36,Hotel Rang Sharda,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,no,yes,no,yes,no,no,2,13.0,5040
37,Bawa Regency,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,yes,no,no,no,no,no,2,9.1,5175
38,Citizen Hotel,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,2,18.0,6000
39,ibis Navi Mumbai Hotel,Mumbai,2021-02-24,2021-02-26,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,2,25.0,4400
40,Radisson Blu Mumbai International Airport,Mumbai,2021-02-24,2021-02-26,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,2,20.0,8998
41,Hexa Axis,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,21.0,5558
42,Hotel Blue Orchid,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,21.0,3360
43,The Royal Orchid,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,no,yes,no,no,no,no,2,16.0,7000
44,Hotel Bawa Continental,Mumbai,2021-02-24,2021-02-26,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,2,19.0,5670
45,Residency Hotel - Fort - Mumbai,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,no,no,yes,no,no,2,0.3,6988
46,The Empresa Hotel,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,23.0,7798
47,Chateau Windsor Hotel,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,2,0.7,7800
48,Dragonfly Apartments Emerald,Mumbai,2021-02-24,2021-02-26,no,no,no,no,no,no,yes,no,no,no,no,no,2,20.0,3036
49,Hexa Nest,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,19.0,6500
50,Hotel Accord Mumbai,Mumbai,2021-02-24,2021-02-26,no,no,no,no,no,no,yes,no,no,yes,no,no,2,17.0,3360
52,Meluha - The Fern,Mumbai,2021-02-24,2021-02-26,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,2,22.0,9720
53,Hotel West inn,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,23.0,4352
54,Peninsula Grand Hotel,Mumbai,2021-02-24,2021-02-26,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,2,20.0,6823
55,Niranta Transit Hotel Mumbai Airport,Mumbai,2021-02-24,2021-02-26,no,no,yes,no,no,yes,no,yes,no,no,no,no,2,19.0,9900
56,Hotel Leafio Marigold Marol,Mumbai,2021-02-24,2021-02-26,no,no,no,no,no,yes,yes,no,no,no,no,no,2,20.0,3997
57,"Svenska Design Hotel, Mumbai",Mumbai,2021-02-24,2021-02-26,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,2,23.0,7997
58,Hexa Wellington,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,20.0,6500
59,Radisson Mumbai Andheri MIDC,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,21.0,8200
60,Fariyas Hotel,Mumbai,2021-02-24,2021-02-26,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,1.7,7675
61,Hexa Magnet,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,no,no,no,no,no,no,2,20.0,6500
62,The Oberoi Mumbai,Mumbai,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,1.3,18980
63,Hexa National,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,yes,no,no,no,no,no,2,20.0,10000
64,Dragonfly Hotel - The Art Hotel,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,yes,yes,no,no,no,yes,no,2,20.0,8480
65,The Fern Goregaon,Mumbai,2021-02-24,2021-02-26,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,2,26.0,8200
66,Hotel Crawford Inn,Mumbai,2021-02-24,2021-02-26,no,no,no,no,no,yes,yes,no,no,no,no,no,2,1.5,4760
67,Ascot Hotel,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,2,1.5,10000
68,Hotel Elphinstone Annexe,Mumbai,2021-02-24,2021-02-26,no,no,no,yes,no,no,yes,no,no,no,no,no,2,2.0,5800
69,Sofitel Mumbai BKC Hotel,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,16.0,19200
70,Courtyard by Marriott Mumbai International Airport,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,20.0,13400
71,"President, Mumbai - IHCL SeleQtions",Mumbai,2021-02-24,2021-02-28,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,4,2.3,19000
72,The Orchid- Ecotel Mumbai Airport,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,19.0,12842
73,Grand Hyatt Mumbai Hotel and Serviced Apartments,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,16.0,17850
74,The St. Regis Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,6.8,25000
75,"Lakeside Chalet - Mumbai, Marriott Executive Apartments",Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,4,23.0,28000
76,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,7.4,15000
77,Boutique Hotel Bawa Suites,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,yes,no,no,no,no,no,no,no,4,16.0,10125
78,OYO 24337 Akshaya Lodging,Mumbai,2021-02-24,2021-02-28,no,no,no,no,yes,no,no,no,no,no,no,no,4,25.0,26823
79,Four Seasons Hotel Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,6.9,19950
80,Taj Lands End,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,13.0,19300
81,"Taj Mahal Tower, Mumbai",Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,1.2,30638
82,The Taj Mahal Palace Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,1.2,49500
83,Ramee Techome,Mumbai,2021-02-24,2021-02-28,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,4,15.0,13440
84,JW Marriott Mumbai Sahar,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,20.0,22200
85,Taj Santacruz,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,18.0,16720
86,Trident Bandra Kurla Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,15.0,18000
87,Colaba Suites,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,1.5,6888
89,VITS Mumbai International Airport T2,Mumbai,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,20.0,9597
90,Hexa Airways,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,20.0,7410
91,Hyatt Regency Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,19.0,17850
92,Novotel Mumbai Juhu Beach Hotel,Mumbai,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,20.0,21920
93,ibis Mumbai Airport Hotel,Mumbai,2021-02-24,2021-02-28,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,4,18.0,11195
94,The Roa,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,yes,no,no,no,no,4,19.0,10796
95,Bawa International,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,4,18.0,10080
96,Hotel Bawa Continental,Mumbai,2021-02-24,2021-02-28,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,4,19.0,10980
97,Executive Enclave,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,4,15.0,13927
98,Dragonfly Apartments Emerald,Mumbai,2021-02-24,2021-02-28,no,no,no,no,no,no,yes,no,no,no,no,no,4,20.0,6071
99,HOTEL BINDRA SUPREMACY,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,yes,no,no,no,no,4,22.0,10080
100,Hotel Harbour View,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,no,no,yes,no,no,4,1.5,13200
101,Citizen Hotel,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,4,18.0,12000
102,Hotel Supreme,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,no,no,no,no,no,4,2.3,9596
103,The Leela Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,20.0,20000
104,Hexa Axis,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,21.0,11115
105,Hotel Blue Orchid,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,21.0,7560
106,"Trident, Nariman Point Mumbai",Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,1.3,26000
107,Hotel Rang Sharda,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,yes,no,no,4,13.0,10080
108,Residency Hotel - Fort - Mumbai,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,no,no,yes,no,no,4,0.3,15529
109,Chateau Windsor Hotel,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,4,0.7,15600
110,ibis Navi Mumbai Hotel,Mumbai,2021-02-24,2021-02-28,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,4,25.0,8800
111,The Empresa Hotel,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,23.0,14846
112,The Park Mumbai,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,4,19.0,16000
113,SPOT ON 35992 Relax Garden Nx,Mumbai,2021-02-24,2021-02-28,no,no,no,no,yes,no,no,no,no,no,no,no,4,20.0,5565
114,Bawa Regency,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,yes,no,no,no,no,no,4,9.1,10215
115,Hexa Meriton,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,yes,no,no,no,no,no,4,20.0,13000
116,The St. Regis Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,no,yes,yes,no,no,no,no,no,no,no,4,6.8,25000
117,Hexa Magnet,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,20.0,13000
118,Hotel Accord Mumbai,Mumbai,2021-02-24,2021-02-28,no,no,no,no,no,no,yes,no,no,yes,no,no,4,17.0,6720
119,The Royal Orchid,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,no,no,no,4,16.0,14000
120,Radisson Blu Mumbai International Airport,Mumbai,2021-02-24,2021-02-28,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,4,20.0,17996
121,"Svenska Design Hotel, Mumbai",Mumbai,2021-02-24,2021-02-28,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,4,23.0,15995
122,LA Hotel Metro,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,15.0,11100
123,Hexa Wellington,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,20.0,13000
125,Hotel Midtown Andheri,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,yes,no,no,no,no,no,4,21.0,6076
126,Fariyas Hotel,Mumbai,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,1.7,14413
127,The Oberoi Mumbai,Mumbai,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,1.3,35000
128,Hotel Elphinstone Annexe,Mumbai,2021-02-24,2021-02-28,no,no,no,yes,no,no,yes,no,no,no,no,no,4,2.0,11600
129,Hotel Crawford Inn,Mumbai,2021-02-24,2021-02-28,no,no,no,no,no,yes,yes,no,no,no,no,no,4,1.5,9520
131,Courtyard by Marriott Pune Hinjewadi,Pune,2021-02-24,2021-02-26,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,2,18.0,10000
132,Doubletree By Hilton Pune - Chinchwad,Pune,2021-02-24,2021-02-26,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,2,21.0,12000
133,Hyatt Regency Pune & Residences,Pune,2021-02-24,2021-02-26,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,14.0,12350
134,Blue Diamond - IHCL SeleQtions,Pune,2021-02-24,2021-02-26,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,10.0,8700
135,ibis Pune Viman Nagar Hotel,Pune,2021-02-24,2021-02-26,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,2,14.0,3500
136,Sheraton Grand Pune Bund Garden Hotel,Pune,2021-02-24,2021-02-26,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,8.8,12001
137,"The Ritz-Carlton, Pune",Pune,2021-02-24,2021-02-26,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,2,12.0,21000
138,Novotel Pune Viman Nagar Hotel,Pune,2021-02-24,2021-02-26,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,14.0,5280
139,Country Club Hotel & Holidays LTD.,Pune,2021-02-24,2021-02-26,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,2,8.5,3000
140,"The Ritz-Carlton, Pune",Pune,2021-02-24,2021-02-28,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,4,12.0,43000
141,Courtyard by Marriott Pune Hinjewadi,Pune,2021-02-24,2021-02-28,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,4,18.0,17000
142,Choice Guest House Pune,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,4.7,8000
144,Nest by Bird Of Paradise,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,no,no,no,no,no,4,15.0,5596
145,Sheraton Grand Pune Bund Garden Hotel,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,8.8,24002
146,Marriott Suites Pune,Pune,2021-02-24,2021-02-28,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,4,11.0,30800
147,Hotel Lxia,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,no,no,no,4,18.0,4676
148,Hyatt Regency Pune & Residences,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,14.0,24700
150,ibis Pune Viman Nagar Hotel,Pune,2021-02-24,2021-02-28,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,4,14.0,6900
151,Blue Diamond - IHCL SeleQtions,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,10.0,18714
152,HOTEL ROYAL ENCLAVE,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,no,no,no,no,no,4,7.2,4156
153,Hyatt Place Pune/Hinjawadi,Pune,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,4,18.0,11150
156,Conrad Pune by Hilton,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,9.9,45600
157,Pride Hotel,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,8.3,11113
158,The Orchid Hotel Pune Hinjewadi,Pune,2021-02-24,2021-02-28,no,yes,no,no,yes,no,yes,no,no,no,yes,no,4,15.0,11108
159,Radisson Blu Hotel Pune Kharadi,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,4,15.0,12096
160,Hotel Ashish Plaza,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,no,yes,no,4,7.5,10080
162,Hotel Nanashree Executive,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,no,no,no,no,yes,4,21.0,5740
163,Advantage 2U Hospitality Kalyani Nagar,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,yes,no,no,4,12.0,7200
164,CELEBRATIONS INN,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,no,no,no,4,21.0,4796
165,Hotel Bhairavee,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,no,no,no,no,no,4,11.0,14668
166,Novotel Pune Viman Nagar Hotel,Pune,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,14.0,10560
168,Shantai Hotel,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,4,7.8,9580
169,Crowne Plaza Pune City Centre,Pune,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,10.0,12400
170,Lemon Tree Hotel Viman Nagar Pune,Pune,2021-02-24,2021-02-28,no,yes,no,yes,no,yes,no,no,no,no,no,no,4,14.0,10637
172,"Vivanta Pune, Hinjawadi",Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,18.0,15810
173,Hotel Rajdeep,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,7.4,6600
175,"Monarch Montvert, Baner Pune",Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,12.0,8518
176,The Haven Serviced Residences,Pune,2021-02-24,2021-02-28,no,yes,no,yes,no,yes,no,no,no,no,yes,no,4,15.0,16000
177,The O Hotel,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,11.0,15393
178,Hotel Sagar Plaza,Pune,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,8.1,9972
179,Hotel Parc Estique,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,14.0,9072
180,Keys Select Pimpri - By Lemon Tree Hotels,Pune,2021-02-24,2021-02-28,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,20.0,14256
182,The Hotel Hindusthan International,Pune,2021-02-24,2021-02-28,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,4,14.0,22409
183,Maurya Residency,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,7.8,4800
184,ibis Pune Hinjewadi Hotel,Pune,2021-02-24,2021-02-28,no,yes,no,yes,no,yes,no,yes,no,no,no,no,4,20.0,5795
185,OYO 40687 Silver Star Executive,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,0.7,20517
186,Cocoon Hotel,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,4,11.0,12000
187,Hotel Swan Inn,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,no,no,no,no,no,4,7.5,7920
188,Silverkey Executive Stays 36722 Near Bachpan Play School,Pune,2021-02-24,2021-02-28,no,no,no,no,no,no,no,no,yes,no,no,no,4,23.0,20517
190,Hyatt Pune,Pune,2021-02-24,2021-02-28,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,13.0,13600
191,"The Fern Residency,MIDC",Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,no,no,no,4,22.0,13920
192,Noorya Hometel,Pune,2021-02-24,2021-02-28,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,20.0,10346
193,Hotel Shree Panchratna,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,yes,no,no,4,9.1,11800
194,Hotel Shivam,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,yes,no,no,no,no,no,4,8.6,7700
195,Iris Hotel,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,10.0,6000
196,Hotel Crystal Court,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,no,no,no,no,no,4,19.0,8000
197,The Sirona Hotel,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,yes,no,no,no,no,4,11.0,10000
199,OYO 17121 Hotel Yashraj Inn,Pune,2021-02-24,2021-02-28,no,no,no,yes,yes,no,no,no,no,no,no,no,4,22.0,44551
200,Treebo Trend Naunidh Suites,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,15.0,5800
201,Hotel Basera,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,no,no,no,no,no,4,7.0,8000
202,Hotel Bhooshan Sivajinagar,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,7.9,7916
203,Hotel Orchard Pune,Pune,2021-02-24,2021-02-28,no,no,no,yes,yes,yes,no,no,no,no,no,no,4,7.1,10800
204,Choice Classic Hotel,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,7.2,6246
205,7 Apple Hotel Pimpri Pune,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,yes,no,no,no,no,no,4,16.0,7200
206,Hotel Shreyas,Pune,2021-02-24,2021-02-28,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,4,7.0,8400
208,Hotel Aura,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,no,no,no,no,no,no,no,4,5.9,24000
211,Hotel RutuGandh Heritage,Pune,2021-02-24,2021-02-28,no,no,no,yes,no,yes,no,no,no,no,no,no,4,6.7,7600
